rep,fold,seed,arm,n_test,auc,ap,acc,f1,rely_img,rely_tab,auc_img_shuf,auc_tab_shuf,best_epoch,epochs_run
3,1,1,concat,46,0.6876876876876877,0.8466031025346872,0.6956521739130435,0.7941176470588235,0.0285285285285284,-0.0060060060060059,0.6591591591591592,0.6936936936936937,4,19
3,1,2,concat,46,0.7117117117117118,0.8848856054969811,0.7608695652173914,0.8405797101449275,0.0600600600600601,-0.0270270270270269,0.6516516516516516,0.7387387387387387,2,17
3,1,0,concat_wide,46,0.7177177177177176,0.8594421669209054,0.8478260869565217,0.9113924050632912,0.0510510510510509,-0.0210210210210211,0.6666666666666667,0.7387387387387387,5,20
3,1,1,concat_wide,46,0.7372372372372373,0.8698951156587563,0.7608695652173914,0.835820895522388,0.0705705705705705,0.0945945945945947,0.6666666666666667,0.6426426426426426,3,18
3,1,2,concat_wide,46,0.6711711711711712,0.8461375367281251,0.782608695652174,0.8648648648648649,0.018018018018018,-0.0135135135135134,0.6531531531531531,0.6846846846846847,3,18
3,1,0,cross,46,0.7777777777777779,0.9375977204830112,0.782608695652174,0.8717948717948718,0.0390390390390391,-0.0390390390390389,0.7387387387387387,0.8168168168168168,1,16
3,1,1,cross,46,0.7357357357357358,0.8761831221370548,0.7608695652173914,0.835820895522388,0.0600600600600601,-0.0150150150150148,0.6756756756756757,0.7507507507507507,1,16
3,1,2,cross,46,0.7417417417417418,0.914030638116652,0.717391304347826,0.8059701492537313,0.0390390390390391,0.0210210210210211,0.7027027027027026,0.7207207207207207,1,16
3,1,0,cross_a2b,46,0.6456456456456456,0.8446913574606989,0.8043478260869565,0.88,0.0060060060060059,-0.0510510510510511,0.6396396396396397,0.6966966966966968,26,41
3,1,1,cross_a2b,46,0.6876876876876877,0.876160739794317,0.7391304347826086,0.8333333333333334,0.009009009009009,-0.0630630630630629,0.6786786786786787,0.7507507507507507,1,16
3,1,2,cross_a2b,46,0.7897897897897899,0.8975960960409222,0.8478260869565217,0.9090909090909092,0.009009009009009,0.1231231231231231,0.7807807807807808,0.6666666666666667,2,17
3,1,0,img,46,0.7837837837837838,0.9468564351453376,0.8043478260869565,0.8888888888888888,,,,,20,35
3,1,1,img,46,0.8498498498498499,0.9639104376507188,0.7608695652173914,0.835820895522388,,,,,20,35
3,1,2,img,46,0.8258258258258259,0.9586265390050536,0.6956521739130435,0.78125,,,,,11,26
